model,layer,direction,mult,c,gold_lp,gold_lp_sem
NPO,12,random,4.0,3.9223060607910156,-0.70648631490767,0.017237308406525237
GradDiff,8,undo,-4.0,-2.3709824085235596,-1.6257478881074348,0.054478159213638744
GradDiff,8,undo,-2.0,-1.1854912042617798,-0.6671517267276067,0.03323662704286364
GradDiff,8,undo,-1.0,-0.5927456021308899,-0.45390620709687934,0.026663081988072143
GradDiff,8,undo,-0.5,-0.29637280106544495,-0.38990800298168327,0.02425706298047559
GradDiff,8,undo,0.5,0.29637280106544495,-0.3177490483247675,0.019693709331865414
GradDiff,8,undo,1.0,0.5927456021308899,-0.3051584230619483,0.017849298898209513
GradDiff,8,undo,2.0,1.1854912042617798,-0.329475988545455,0.01588894139370392
GradDiff,8,undo,4.0,2.3709824085235596,-0.5898228353681043,0.02011770929715555
GradDiff,8,epistemic,-4.0,-7.138071254331625,-4.124669548869133,0.08586313326937661
GradDiff,8,epistemic,-2.0,-3.5690356271658126,-1.4281456264667214,0.04598546254713168
GradDiff,8,epistemic,-1.0,-1.7845178135829063,-0.6024361409433187,0.025264110596002216
GradDiff,8,epistemic,-0.5,-0.8922589067914531,-0.4005021928087808,0.0214143678874876
GradDiff,8,epistemic,0.0,0.0,-0.34581460045883433,0.021897870542795156
GradDiff,8,epistemic,0.5,0.8922589067914531,-0.40770505674765445,0.02227253929015906
GradDiff,8,epistemic,1.0,1.7845178135829063,-0.8183184377697762,0.03075030203798981
GradDiff,8,epistemic,2.0,3.5690356271658126,-2.7607313710451127,0.0565146937001015
GradDiff,8,epistemic,4.0,7.138071254331625,-8.943425467014313,0.08709113720503317
GradDiff,8,content,-4.0,-1.591508388519287,-0.5803493096656166,0.027114867430620426
GradDiff,8,content,-2.0,-0.7957541942596436,-0.39555565622635186,0.023177733975595513
GradDiff,8,content,-1.0,-0.3978770971298218,-0.3601259870734066,0.022452707378829585
GradDiff,8,content,-0.5,-0.1989385485649109,-0.350838701169705,0.022171676791697015
GradDiff,8,content,0.5,0.1989385485649109,-0.3447736613027519,0.02163422789671074
GradDiff,8,content,1.0,0.3978770971298218,-0.3481081426714081,0.02142077842902189
GradDiff,8,content,2.0,0.7957541942596436,-0.37062168279662727,0.02132090662260022
GradDiff,8,content,4.0,1.591508388519287,-0.5186595430783928,0.02385900973365115
GradDiff,8,random,-4.0,-2.3709824085235596,-0.6351783952047118,0.02484391732816947
